SellerID,URL,Price,Year,Contact,Class,Category,Length,Make,Material,Fuel Type,Zip,Location,Engine Type
50829,https://www.boattrader.com/listing/2020-supra-sl-103718690/,"$173,925 ",2020,(501) 229-6135,Power, Ski and Wakeboard Boats,23',Supra,Fiberglass,Gas,71913,"Hot Springs National Park, AR",Single Inboard
28292,https://www.boattrader.com/listing/2020-key-west-239-fs-103668446/,Request a Price,2020,(386) 753-3693,Power," Center Consoles, Saltwater Fishing",23',Key West,Fiberglass,Gas,32117,"Holly Hill, FL",Other
25845,https://www.boattrader.com/listing/2006-hanse-400-103686001/,"$149,900 ",2006,(714) 725-7921,Sails," Racers and Cruisers, Cruisers",40',Hanse,Fiberglass,Diesel,92656,"San Pedro, CA",Other
34377,https://www.boattrader.com/listing/2010-sea-ray-210-bow-rider-103649017/,"$21,490 ",2010,(262) 239-7682,Power, Bowrider,21',Sea Ray,Fiberglass,Gas,53125,"Fontana, WI",Other
10016,https://www.boattrader.com/listing/2020-tracker-bass-tracker-classic-xl-103700894/,"$10,995 ",2020,(704) 802-1340,Power, Bass Boats,16',Tracker,Fiberglass,Other,28117,"Mooresville, NC",Other
21066,https://www.boattrader.com/listing/1988-catalina-34-103610588/,"$34,900 ",1988,(410) 304-6381,Sails, Cruisers,34',Catalina,Fiberglass,Diesel,21403,"Edgewater, MD",Single Inboard
34649,https://www.boattrader.com/listing/2016-sportsman-open-252-center-console-103699454/,"$89,900 ",2016,(609) 772-4441,Power," Center Consoles, Saltwater Fishing",25',Sportsman,Fiberglass,Gas,8247,"Stone Harbor, NJ",Twin Outboard
34649,https://www.boattrader.com/listing/2016-pursuit-c-238-103675234/,"$79,900 ",2016,(609) 772-4441,Power, Center Consoles,23',Pursuit,Fiberglass,,8247,"Stone Harbor, NJ",Other
44189,https://www.boattrader.com/listing/2019-scout-255-lxf-103424407/,Request a Price,2019,(888) 415-2068,Power," Sports Fishing Boats, Sports Fishing Boats, Center Consoles",25',Scout,Fiberglass,Gas,8244,"Somers Point, NJ",Twin Outboard
49226,https://www.boattrader.com/listing/2015-beneteau-swift-trawler-50-103710172/,"$849,000 ",2015,(941) 241-2656,Power," Trawlers, Flybridge, Motor Yachts",50',Beneteau,Fiberglass,Diesel,34243,"Saint Petersburg, FL",Twin Inboard
34649,https://www.boattrader.com/listing/2017-everglades-320ex-103616020/,"$264,900 ",2017,(609) 772-4441,Power, Cruisers,32',Everglades,Fiberglass,Gas,8247,"Stone Harbor, NJ",Twin Outboard
23220,https://www.boattrader.com/listing/2018-scarab-195-open-id-103555314/,"$43,092 ",2018,(210) 734-8199,Power, Jet Boats,19',Scarab,Fiberglass,Gas,78201,"San Antonio, TX",Single Inboard
44155,https://www.boattrader.com/listing/2019-galeon-485-hts-103469454/,Request a Price,2019,(888) 860-3588,Power, Mega Yachts,48',Galeon,Fiberglass,Diesel,34102,"Naples, FL",Twin Inboard
28292,https://www.boattrader.com/listing/2020-key-west-219-fs-103699495/,Request a Price,2020,(386) 753-3693,Power," Center Consoles, Saltwater Fishing",21',Key West,Fiberglass,Gas,32117,"Holly Hill, FL",Single Outboard
23220,https://www.boattrader.com/listing/2019-wellcraft-f352-103619218/,Request a Price,2019,(210) 734-8199,Power, Sports Fishing Boats,35',Wellcraft,Fiberglass,Gas,78201,"San Antonio, TX",Triple Outboard
34649,https://www.boattrader.com/listing/2017-boston-whaler-280-outrage-103690013/,"$179,900 ",2017,(609) 772-4441,Power," Center Consoles, Saltwater Fishing",28',Boston Whaler,Fiberglass,Gas,8247,"Stone Harbor, NJ",Other
44189,https://www.boattrader.com/listing/2020-scout-275-dorado-103434759/,Request a Price,2020,(888) 415-2068,Power," Sports Fishing Boats, Dual Console, Runabouts",27',Scout,Fiberglass,Gas,8244,"Somers Point, NJ",Twin Outboard
"1250""",https://www.boattrader.com/listing/2019-sun-tracker-party-barge-18-dlx-103576587/,"$20,970 ",2019,(913) 439-4465,Power, Pontoon Boats,20',Sun Tracker,Aluminum,,66061,"Olathe, KS",Single Outboard
44189,https://www.boattrader.com/listing/2020-scout-277-lxf-103670443/,Request a Price,2020,(888) 415-2068,Power," Sports Fishing Boats, Saltwater Fishing, Center Consoles",27',Scout,Fiberglass,Gas,8244,"Somers Point, NJ",Twin Outboard
14354,https://www.boattrader.com/listing/2019-jeanneau-leader-36-103584123/,"$479,000 ",2019,(469) 200-0246,Power, Sports Cruiser,38',Jeanneau,Fiberglass,Diesel,77565,"Little Elm, TX",Other
34345,https://www.boattrader.com/listing/2020-sea-hunt-gamefish-25-103692365/,Request a Price,2020,(252) 888-2560,Power, Center Consoles,25',Sea Hunt,Fiberglass,Gas,28560,"New Bern, NC",Twin Outboard
34820,https://www.boattrader.com/listing/2009-boston-whaler-130-super-sport-103720253/,"$9,000 ",2009,(631) 203-1690,Power, Ski and Fish,13',Boston Whaler,Fiberglass,Gas,11952,"Mattituck, NY",Other
14354,https://www.boattrader.com/listing/2019-jeanneau-leader-10-5-103385086/,Request a Price,2019,(281) 770-6286,Power, Express Cruiser,35',Jeanneau,Fiberglass,Gas,77565,"Kemah, TX",Twin Outboard
44173,https://www.boattrader.com/listing/2019-grady-white-freedom-215-103436385/,Request a Price,2019,(866) 264-7591,Power," Sports Fishing Boats, Saltwater Fishing",21',Grady-White,Fiberglass,Gas,32502,"Pensacola, FL",Single Outboard
14354,https://www.boattrader.com/listing/2019-jeanneau-51-103019656/,"$599,935 ",2019,2.82E+19,Sails, Racers and Cruisers,51',Jeanneau,Fiberglass,Diesel,77565,"Kemah, TX",Single Inboard
14354,https://www.boattrader.com/listing/2019-jeanneau-389-103516016/,"$262,000 ",2019,2.82E+19,Sails, Sloop,38',Jeanneau,Fiberglass,Diesel,77565,"Kemah, TX",Single Inboard
14354,https://www.boattrader.com/listing/2019-fountaine-pajot-saona-47-103448825/,"$876,890 ",2019,2.82E+19,Sails, Catamaran,47',Fountaine Pajot,Fiberglass,,77565,"Kemah, TX",Other
14354,https://www.boattrader.com/listing/2019-fountaine-pajot-new-45-103448818/,"$798,898 ",2019,(281) 957-9046,Sails, Catamaran,45',Fountaine Pajot,Fiberglass,,77565,"Kemah, TX",Other
44155,https://www.boattrader.com/listing/2019-galeon-485-hts-103469454/,Request a Price,2019,(888) 860-3588,Power, Mega Yachts,48',Galeon,Fiberglass,Diesel,34102,"Naples, FL",Twin Inboard
32168,https://www.boattrader.com/listing/2019-sportsman-tournament-234-platinum-103715524/,"$83,400 ",2019,(941) 914-9217,Power," Center Consoles, Bay Boats, Ski and Fish",23',Sportsman,Fiberglass,Gas,34233,"Cameron, LA",Single Outboard
34649,https://www.boattrader.com/listing/2017-everglades-320ex-103616020/,"$264,900 ",2017,(609) 772-4441,Power, Cruisers,32',Everglades,Fiberglass,Gas,8247,"Stone Harbor, NJ",Twin Outboard
23220,https://www.boattrader.com/listing/2018-scarab-195-open-id-103555314/,"$43,092 ",2018,(210) 734-8199,Power, Jet Boats,19',Scarab,Fiberglass,Gas,78201,"San Antonio, TX",Single Inboard
